text,isAbuse
응 결혼해서 애 낳는 순간 칼각이고지랄이고 그런 습관다 없어짐 돌아서면 아기가 씨 발다 해쳐놓는데 무슨 정리는 얼어 죽을 정리,1
그게 팁이 있냐,0
강사도 누구나 함주둥이만 있으면,1
돈 좀 빨아먹으려고,0
진이 과거에도 대놓고 욕했으면 질투로 안 보고 열등감으로 안 봄 아직도 이해안됨 ㅋㅋ,1
30,0
운지햐라,1
동남아가면 식중독 많이 걸림ㅇㅇ 현지인들도 자주 걸리는데 우리보다는 강하더라 ㅋㅋ길에 파는 음식재료도 재료지만 사용한 그릇이나 컵을 흐르는 물에 씻지 않고 그냥 양동이 에 첨벙담궜 다가걸레로 닦음ㅋㅋ리고개 네들길에서도 쿰쿰한 냄새나는 게 그 양동이 물이 못 쓸 정도로 더러우면 그냥 길 위에 다가부 어버림ㅋㅋ아물론 조선에 길거리 음식도 다를 바 없다고 생각한 다ㅋ,0
아이 개병신 새끼 씨ㅋㅋ,1
어허 이상한 말하면 안댕,0
지금 맹구는 돈이 얼마들든 사람 구실만 하면 다혜자라 그러는 듯,0
아하,0
저래도 찍지 그렇지,0
이름에 존 들어간 애들이 쌔다 제임스는 안 됨,0
남양주병 힘내자,0
나만 아니면 돼,0
전라도 홍어년 놈들이 주는 거사주는 거사 양하고 안 먹는 게 가장 안전하다,1
혼전 동거와 피임이 진짜 중요한 거 같은데 우리나라는 동거도 존 나안 좋게 보고 툭하면 속도 위반에 성인끼리 만나서도장 찍고 헤어지는 거야 진짜 아무것도 아니고 그냥 실수인데 애들은 뭔 죄냐 사람이 평생 뒤질 때까지 실수하면서 살지만 그 실수로 돌이킬 수 없는 상처가 남는 실수는 조심해야 된다 애 낳고 하는 이혼도 그런 실수고,0
왔어 안자고 왜 왔어,0
거기서는 남자들이 디엠보내고 따먹음 ㅇㅇ너 얼굴이 1차적 공략법이지 다른 방도는 없음걸레들이 외모 더 따짐,1
저런 애들이 아다랑스 시녀찾았던 거냐,1
하며 뒷짐 지고 싸우는 척하는 웰빙 샛끼들 천지삐 까리란다,1
딸 너무 걱정하지 마사춘 기 지나고 철들면 알아서 잘 산다,0
왜,0
공부 못하면 기술 배워라는 말이 있잖아,0
부러우라고 올린 거 아니니까,0
화곡동은 뭐냐,0
내가 성경대로 믿기 시작한 건 창조과학회 김명현 박사 영상보고무적권성경대로 믿기로 한 거거 등,0
일부러 팔꿈치 좌석 밖으로 걸쳐 놈ㅋㅋㅋ,0
저 상황에서 남목숨 챙기는 병신새끼도 있냐 ㅋㅋ,1
경찰 군 무원 어떤 게 더 낫냐,0
ㄹㅇ 똑같은 업무지시를 해도 사람 진짜 존 나빡치게 만드는 재주가 있음,1
어째 재네들은 제대로 된 놈이 하나 없어,1
물가상승률 고려해라 20년 지나서 3억이면 지금 시세로 5천만원 정도 될 꺼 다 너한테 지금 5천만원 물려주고 독립시켜주는 거랑 같은 상황,0
걍니뽕끼리 전국체전이나 해라 ㅋㅋ,1
틀 딱이 네먹을 나이됐다,1
느 개비 인증해 라엠생충 새끼야ㅋ스충 엠창 새끼ㅋ,1
일본인들은 한국인이 아직까지 똥술 먹는다고 믿잖아,0
장관 임명권은 대통령한테 있는데 저딴 종이조가리가 뭔ㅋㅋㅋ 틀니다 뽑아버릴라,1
일본은 칼을 사면 칼날이 잘 드는지 길 가는 사람들을 죽여서 확인했던 풍습이 있다,0
당연히 2017년의 표적이 아닐 수도 있겠지,0
저기 어디임저기가 ㄹㅇ 무릉도 원 아니겠냐 ㅋㅋ 보면 모델들 데려다 컨셉 사진 찍은 거 같기도 하고 괜히 서양이 공주님 같은 이야기가 있는 게 아니네,0
류석춘 교수는 진짜 닮았네 ㅋ,0
ㅇㅇ 돌날라 김씨,0
ㅇㄷ,0
법이 ㅡㅡ와 일노,0
모르고 당하면 갑작스러운 사태에 혼돈 그 자체 일 사람이 얼마나 고통스러울지 생각해봐,0
이란이 통제당하고 있어서 시위 하나 안 날 거라던 병신새끼들 어디갔노,1
철대패로저놈들 흑두네 알싺싹 밀어서 모래밭에 파묻고 싶다가능하다면 동작동 가서 두개골도 빠사버리고 싶음,1
근데 찍어도 7등급 나오기 힘들다던데어케 해야7등급 나오냐 ㅋㅋ 발 그것도 대단하다,1
그래도 이 새끼 어느 정도 친구에 뜻을 이해햇는 지 친구들한테 그간 미안햇다고 단톡 날리며 집들이 할 테니와 달라고 함,1
남편이 스시남이 더만,1
저기도 댓바기지 생략한 거임,0
평소 일베 같지 않노 ㅋㅋㅋ 주예지가 물론 잘못한 건 맞지만 일베도 노가다 혐오극에 달하는데 ㅋㅋ,0
얼굴이 다른 사람인데 ㅋㅋ,0
무조건 학부를,0
잘해봐라,0
러시아 맞음서구권 백인 소아성애자 커뮤니티한 테러시아는,0
7등급은 가르쳐서 되는 게 아님 그냥 멍청한 학생이 안 배우는 거임 그리고 그 전에 문과 1등급이과 7등급 이랬던 거보면 그냥 이과부 심부리면서 주제 모르고 나대는 병신일 듯,1
ㅅㅂ인구가 준다는 데 수도권에 더 많이 살아 좀 갈 사람은 나가라 특히 586세대들,1
난 내가 코 작다고 생각하는 데 가족이나 친구들 다코크다고 그러더라,0
아니메시 허락은 안 받고 아버지 허락을 처받고 있냐 미친 양 아치 새 기네,1
미친 짱 깨년 이 양키스비니 쓰고 다니네ㅋㅋㅋ,1
나형백 분위 1은 좀 심한 거 아닌가수 시 합격하고 친거 같음,0
레아 미만 잡ㅋㅋ 밖에 못 쓰는 년이 공주 지위 하나로 오더존 나내림,1
두부는 외상으로,0
힘들겠지만 깔끔하게 연락 끊어라 여자가 관심 있으면 한 달 안에 연락온다 한 달 넘어갔을 때 연락 없으면 끝그때도니가 지금처럼 죽고 싶으면 그때 죽어라,0
그레서 어떡계하라고 ㅡㅡ,0
아저기 가입된 사람 전자발찌가 자 이런 건 전자발찌가 도 국민들이 박수치지 뭐라 안 한다,0
저거 유튜버들 다 찍었어 선동ㅁㅈㅎ,0
해체가 답이지,0
이제 박사모들이 곧 저 여자 김무성계 김영삼계라며 합리화시킬 거임,0
저 거남자 쪽에서도 저렇게 적게 받는 건 매달 나가는 돈 아니까 저렇게 적게 받는 경우가 많음 내 생각에 결혼하기 전에 5000만원 정도는 비상금으로 가지고 있어야 함 그리고 결혼하고 생활비 다주더라도 가지고 있떤 5000만원 주식이든 펀드든 뭐든 넣어 불리면서 자산을 만들 수 있어야 어디가도 기가 안 죽음,0
카엔주인공보다 더 꼴림,0
거미 누나 부럽습니다,0
그래서 잘생겼으니 인기 끈 거고 정치병 유투버도 아니고 지능력으로 뜬 건데 질투라도 해주길 바라냐 ㅋㅋㅋ,1
너의 주장에는 확신만 있고 근거가 없다,0
대구경북이 문제,0
능지병신들 임ㄹㅇ,1
오다기리,0
그 정도니까 추첨하는구나,0
김일성이 중국말 러시아 말을 하는 조선족 짱깨라메그거 보고 충격 먹음시 발지금 우리가 중국이랑 싸우고 있다는 거자나,1
스티브 유그냥 지들나라에서 살기를,0
결제한 세 끼들도 다잡아 족쳐야지,1
몽골한테 최근에 250년간 지배당하고 집단 강간을 당했는데 동양피가 하나도 안 섞였다고 쌩어 거지 떠는 초졸 또 라이보 소어ㅋㅋ니가 말하고도 너무 어거지라 좀 부끄럽지어 ㅋㅋ,1
우리 개는 안 물어요 ㅎㅎ,0
씨벌련 이닉 변하고 아침에 올린 거토씨 하나 안 바꾸고 그대로 좆 중복 조져버리네 씨벌련아 ㅁㅈㅎ,1
이참에 그년 보지나 용접해버리자,1
곧 남자가 혼자 다 하겠네ㅉㅉㅉ,1
요즘은 야스오픽하는 애들 50의 확률로 잘 하더라,0
재앙이가낙연이로는 불안한 갑다,0
ㅋㅋ 오늘 처음으로 소리 내서 웃었다,0
참고로 뉘른베르크 유망주 시절에 얘 키워준 감독은 덕배월클 만들고 1415볼북으로 리그 2등포 칼 우승시킨디터 헤킹ㅋㅋㅋ 터헤킹 위르겐 클롭 뢰브투헬펩 진짜 귄도안 감독 복 오짐,0
술 먹고 판사 새끼 죽여도 무죄,1
자나 깨나 정치 생각 ㅋㅋ,0
와 최대 1만명 수준이면 최소 몇천은 될 것 같은데다 잡아서 콩밥은 무슨 자지 다 썰어야 됨,1
장담하는 데 방송이라 종아리라 그런 거지 현실에선 젖꼭지임,0
홍어들은 씨를 말려야 함,1
하면 된다이기 바꿔 먹으면 된다 이기,0
오미키너와 나의 미키 헼헼오미킼,0
니애가 불쌍타너욕하는 게 아니고 진심 임애는 뭔 죄냐,1
진짜 정신이 나갔네,0
어찌 보면 반달이 젤 애매하고 경우 따라 더 조심해야 될 부류일지도,0
와이젠 일베할떄위도 살펴봐야 겟네ㅋㅋ찰이 수습한다고 폰주웟는데 일베틀어져 있으면 ㅈ겟다,1
저 등치에 은근발 밑 좋고 탈압박조 ㅋㅋ 생각해보면 야 투랑도 비볐던 놈이니까,0
치매,0
난 저러면 좆진지하게 말 그대로 답변을 해줌,1
저런 집에 자식들 용돈 얼마주냐 그러면 대부분이 50씩 쓴다 그럴 거 다 ㅋ장이 미성년자 자식한테 용돈 빌려 쓰는 괴상핫집 구석,0
성당 사진 퍼온 건 줄 알았는데 현판 같은 거노,0
음식 전 부 원단 가 솔직히 1만5000원 절대 안 넘는 다목아지건다,0
그게 너가 세상 살아가는데 제일 합리적인 것 같다,0
작가님,0
그냥 유행이라도 따라가라 자기가 진짜 개성 있게 옷 잘 입는 거 아니면 유행만 따라가도 반은 간 다ㅇㅇ 옷 입는 거 한정,0
내 댓글이 마운트까는 게 주포인트는 아니긴 했는데 나도 마운트 좋아함하드 워커에 에너지 풀해서 ㅎㅎ,0
박사야,0
씨이발,1
세상만사는 니가 생각하는 것보다도 훨씬 더 복잡하다,0
일베는 뭐든지 다 깜 그냥 아가리로 까기만 함 ㅋㅋ기까지만 함ㅋㅋ 행동일절 노노ㅋㅋㅋ,1
글쎄 옆집 아저씨가 사줬나 부지뭐,0
나 2흑열 전 차 실제로 봤는데 위압감 미쳤음ㄷㄷ 9자 주포 2흑열 전차ㅆㅅㅌㅊ 밀덕되는 이유를 알겠더라,0
죽여버려야지 저런 놈은,1
진짜 본인 애니보고 딸 치게 생긴 씹덕 얼굴 상 얼굴 깐 글에 욕도박을 수 있으니 김치 응딩이 ㅅㅌㅊ,1
아가리가 왜 저렇냐,1
이건 김성령이지,0
난 재미교포 크리스 리그년은 진짜 느끼면서 하는 년임,1
복싱에선 여태 일본이 많이 쳐 발렸다,1
어차피 기존의 항암치료 다 하면서 보조적으로 먹는 것치기 때문에 밥 줄 끊길 일 없음 펜벤다졸만 먹고 암이 호전됐다거나 치료됐다고 하는 사람은 없었다,0
벤치에서 꿀잠자고 있던 아재 어떤 20대 놈이 그 아재아리랑치 기하고 사까시 했던 짤방 진짜 쇼킹이었음,0
ㅋ과의 균형이 깨져가 이뤄지는 건데니말마따라 산화과정 자체를 스트레스라고 치면,0
외과의사만큼은 최고로 쳐야 한다,0
세스코도 졵나 감당 안 되는 곳은 그냥 물건 싹 다 버리라거나 포기함,1
엑소 중국 놈들이 통수쳐서 그 후로에서 중국 국적 제대로 안 키우더만 아무튼 아이돌 산업 그거 생구라 아니냐 저 새끼들 중에 안 쳐 대고 다니는 놈 없을 걸 저런데 돈 쓰는 게 병신호 구지 유사연애 감정으로 돈 버는 주제에 한 번에 임신에 결혼까지 해버리네 당 연 팬들 입장에선 빡치지 아무튼 이런 걸 알아서인지 제대로 된 남자는 딱히 좋아하는 연예인 없음,1
순연봉만 따지면 비비는 데 광고 이런 데서 딴 종목이 압살해서 그런 듯,0
기술공대 엔지니어 기능 공고테크니션 기능공들은 기술인이라고 구라차지마,0
이거 ㅇㅂ 주는 새끼들 좆 뉴 비 새끼들이냐 본 거 또 보고 또 보고 꾸준히 쳐올 리네좆 망병신사이트ㅉ,1
위조된 신분으로 학교를 들어가다니,0
생물학적으로 번식 가능한데 사회화를 위한다는 이유로 억압하고 있는 거지,0
3대 몇,0
니꼬치 ㅋㅋㅋ,1
제발 좀 잡아 가 두자,0
저 양반은 어쩌다 저리됐을까요,0
꼬시다 꼬수워 노가다 세 끼들 제발 좌파해라쪽 팔린다,1
조국 사태 보면 박탈감 느낄 만하지근데 백수새기들은 그냥 노력 안 해서 취업 못하는 거,0
언론사 어디고,0
역성장이 아니구,0
얘도 헌법 강의해서 조무사되면 저 사태 해결 가능함,0
땅콩 사무장 양반 중간에 낑기게 한 게 더얄미움,1
ㅋㅋ이가 없노,0
와ㄷㄷㄷ 호 세력이 있는 지 탈탈 털어야됨,0
어휴 조선 새끼들은 그저 꼬투리 잡는 건 기집이나 사내 새끼들이나 똑같다왠만 하면 하는 게 용접이니 비유를 한 거가지고 아직도 이 지랄들을 하고자 빠졌네,1
개소ㅁㅈㅎ,1
목도리 같은 건 펜디,0
과거 글이 없잖아,0
좀 그만해라씨 발 새끼들ㅋ,1
기승전 베들 베들 목적에 충실한 벌레구더기,1
ㄷㄷ,0
이러고 그래나도 좋아,0
나잇값 못하는 발기부전 땅꼬마,1
저러다 뒤지면 후방주시 태만으로 버스 기사한테 책임 묻겠지,0
한 말을 그대로 적지 않고 변경했지,0
씨발년 아웃겨,1
이 글을 읽어보시면 가 왜 말이 안 되는지 그리고 왜 테슬라가 여기에서 꼴찌로 나와 있는지 비판합니다 일단 는 리포트를 만들어서 30006000 불가량씩 주고 파는 곳입니다,0
픽업아티스트다,0
가족끼리 싸우지마요,0
주민들한테 삽으로 머리를 내리 찍혀야 정신을 차릴려나,1
싸 캐스틱이다,0
건강한 생활습관을 가지고 살면 심하게 살찔 일도 없다,0
